"Name of State / UT","Active Cases - Total","Active Cases - Change Since Yesterday","Cured/Discharged/Migrated - Cumulative","Cured/Discharged/Migrated - Change Since Yesterday","Deaths - Cumulative","Deaths - Change Since Yesterday","Report Date","Load Date"
"Haryana","22500","4179","767310","1552","10077","5",2022-01-11,2022-01-11
"Himachal Pradesh","4186","1038","225215","160","3884","2",2022-01-11,2022-01-11
"Jammu and Kashmir","4024","493","336790","209","4544","4",2022-01-11,2022-01-11
"Jharkhand","26019","2691","350863","1789","5172","2",2022-01-11,2022-01-11
"Karnataka","60177","10546","2965105","1148","38374","4",2022-01-11,2022-01-11
"Kerala***","38436","2835","5203146","2796","49757","166",2022-01-11,2022-01-11
"Ladakh","397","57","22067","67","222","1",2022-01-11,2022-01-11
"Lakshadweep","1","","10368","","51","",2022-01-11,2022-01-11
"Madhya Pradesh","8599","1757","784506","559","10538","1",2022-01-11,2022-01-11
"Maharashtra","209764","3791","6602103","29671","141647","8",2022-01-11,2022-01-11
"Manipur","438","31","123779","103","2011","",2022-01-11,2022-01-11
"Meghalaya","448","54","83369","14","1487","2",2022-01-11,2022-01-11
"Mizoram","5910","1298","141086","214","562","1",2022-01-11,2022-01-11
"Nagaland","104","23","31495","9","703","",2022-01-11,2022-01-11
"Odisha","20199","4415","1047031","414","8468","",2022-01-11,2022-01-11
"Puducherry","1722","472","127607","17","1882","",2022-01-11,2022-01-11
"Punjab","19379","3036","589285","884","16683","8",2022-01-11,2022-01-11
"Rajasthan","25088","5621","948210","472","8974","2",2022-01-11,2022-01-11
"Sikkim","314","96","32107","15","410","1",2022-01-11,2022-01-11
"Tamil Nadu","62767","11432","2714643","2547","36866","11",2022-01-11,2022-01-11
"Telangana","14995","1473","676817","351","4043","1",2022-01-11,2022-01-11
"Tripura","1332","529","84352","49","831","1",2022-01-11,2022-01-11
"Uttarakhand","5009","891","339739","396","7429","5",2022-01-11,2022-01-11
"Uttar Pradesh","33946","7972","1688983","335","22932","4",2022-01-11,2022-01-11
"West Bengal","89194","11083","1665221","8187","19917","16",2022-01-11,2022-01-11
"Andaman and Nicobar Islands","412","19","7748","24","129","","","",NA,NA,2022-01-12,2022-01-12
"Andhra Pradesh","7195","1589","2062974","242","14505","","","",NA,NA,2022-01-12,2022-01-12
"Arunachal Pradesh","535","183","55061","3","282","","","",NA,NA,2022-01-12,2022-01-12
"Assam","10600","2386","614991","449","6185","2","","2",NA,NA,2022-01-12,2022-01-12
"Bihar","25052","4113","718882","1790","12111","5","","5",NA,NA,2022-01-12,2022-01-12
"Chandigarh","3924","671","65182","128","1083","2","","2",NA,NA,2022-01-12,2022-01-12
"Chhattisgarh","23886","4664","995075","483","13623","4","","4",NA,NA,2022-01-12,2022-01-12
"Dadra and Nagar Haveli and Daman and Diu","117","12","10705","9","4","","","",NA,NA,2022-01-12,2022-01-12
"Delhi","74881","9075","1490074","12161","25200","23","","23",NA,NA,2022-01-12,2022-01-12
"Goa","12019","1880","178421","592","3537","4","","4",NA,NA,2022-01-12,2022-01-12
"Gujarat","37238","4769","828406","2704","10133","3","","3",NA,NA,2022-01-12,2022-01-12
"Haryana","26836","4336","768717","1407","10080","3","","3",NA,NA,2022-01-12,2022-01-12
"Himachal Pradesh","5476","1290","225475","260","3884","","","",NA,NA,2022-01-12,2022-01-12
"Jammu and Kashmir","4810","786","337150","360","4546","2","","2",NA,NA,2022-01-12,2022-01-12
"Jharkhand","29042","3023","352555","1692","5176","4","","4",NA,NA,2022-01-12,2022-01-12
"Karnataka","73289","13112","2966461","1356","38379","5","","5",NA,NA,2022-01-12,2022-01-12
"Kerala***","45142","6706","5205210","2064","49776","19","277","296",NA,NA,2022-01-12,2022-01-12
"Ladakh","406","9","22099","32","222","","","",NA,NA,2022-01-12,2022-01-12
"Lakshadweep","4","3","10368","","51","","","",NA,NA,2022-01-12,2022-01-12
"Madhya Pradesh","11265","2666","784999","493","10539","1","","1",NA,NA,2022-01-12,2022-01-12
"Maharashtra","225199","15435","6621070","18967","141669","22","","22",NA,NA,2022-01-12,2022-01-12
"Manipur","539","101","123793","14","2012","1","","1",NA,NA,2022-01-12,2022-01-12
"Meghalaya","578","130","83396","27","1489","2","","2",NA,NA,2022-01-12,2022-01-12
"Mizoram","6639","729","141235","149","564","2","","2",NA,NA,2022-01-12,2022-01-12
"Nagaland","112","8","31516","21","703","","","",NA,NA,2022-01-12,2022-01-12
"Odisha","26517","6318","1047783","752","8469","1","","1",NA,NA,2022-01-12,2022-01-12
"Puducherry","2355","633","127629","22","1882","","","",NA,NA,2022-01-12,2022-01-12
"Punjab","23235","3856","589972","687","16692","9","","9",NA,NA,2022-01-12,2022-01-12
"Rajasthan","30597","5509","949063","853","8978","4","","4",NA,NA,2022-01-12,2022-01-12
"Sikkim","494","180","32125","18","410","","","",NA,NA,2022-01-12,2022-01-12
"Tamil Nadu","75083","12316","2717686","3043","36886","20","","20",NA,NA,2022-01-12,2022-01-12
"Telangana","16496","1501","677234","417","4045","2","","2",NA,NA,2022-01-12,2022-01-12
"Tripura","2041","709","84426","74","831","","","",NA,NA,2022-01-12,2022-01-12
"Uttarakhand","6603","1594","340271","532","7430","1","","1",NA,NA,2022-01-12,2022-01-12
"Uttar Pradesh","44466","10520","1689526","543","22937","5","","5",NA,NA,2022-01-12,2022-01-12
"West Bengal","102236","13042","1673258","8037","19936","19","","19",NA,NA,2022-01-12,2022-01-12
